"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Day of Month"	"Day of Month Code"	Avg Daily Max Air Temperature (C)
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"25"	"25"	13.67
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"26"	"26"	15.43
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"27"	"27"	14.46
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"28"	"28"	15.00
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"29"	"29"	15.51
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"30"	"30"	12.40
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"31"	"31"	8.01
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"1"	"1"	8.06
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"2"	"2"	11.02
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"3"	"3"	9.48
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"4"	"4"	11.34
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"5"	"5"	8.90
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"6"	"6"	10.35
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"7"	"7"	10.49
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"8"	"8"	8.92
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"9"	"9"	7.99
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"10"	"10"	11.02
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"11"	"11"	13.02
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"12"	"12"	14.72
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"13"	"13"	19.62
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"14"	"14"	21.21
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"15"	"15"	22.56
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"16"	"16"	22.69
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"17"	"17"	23.72
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"18"	"18"	23.71
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"19"	"19"	21.59
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"20"	"20"	20.61
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"21"	"21"	17.88
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"22"	"22"	15.15
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"23"	"23"	16.36
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"24"	"24"	18.03
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"25"	"25"	19.18
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"26"	"26"	18.94
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"27"	"27"	16.47
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"28"	"28"	12.19
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"29"	"29"	15.01
	"California"	"06"	"1999"	"1999"	"Apr"	"4"	"30"	"30"	16.93
	"California"	"06"	"1999"	"1999"	"May"	"5"	"1"	"1"	18.79
	"California"	"06"	"1999"	"1999"	"May"	"5"	"2"	"2"	15.01
	"California"	"06"	"1999"	"1999"	"May"	"5"	"3"	"3"	12.95
	"California"	"06"	"1999"	"1999"	"May"	"5"	"4"	"4"	16.11
	"California"	"06"	"1999"	"1999"	"May"	"5"	"5"	"5"	22.11
