"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Day of Month"	"Day of Month Code"	Avg Daily Max Air Temperature (C)
	"Florida"	"12"	"1999"	"1999"	"Mar"	"3"	"26"	"26"	23.28
	"Florida"	"12"	"1999"	"1999"	"Mar"	"3"	"27"	"27"	21.68
	"Florida"	"12"	"1999"	"1999"	"Mar"	"3"	"28"	"28"	24.39
	"Florida"	"12"	"1999"	"1999"	"Mar"	"3"	"29"	"29"	27.17
	"Florida"	"12"	"1999"	"1999"	"Mar"	"3"	"30"	"30"	26.77
	"Florida"	"12"	"1999"	"1999"	"Mar"	"3"	"31"	"31"	26.08
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"1"	"1"	27.26
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"2"	"2"	29.12
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"3"	"3"	29.53
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"4"	"4"	29.86
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"5"	"5"	30.51
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"6"	"6"	29.66
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"7"	"7"	29.01
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"8"	"8"	29.98
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"9"	"9"	31.06
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"10"	"10"	32.54
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"11"	"11"	33.04
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"12"	"12"	30.45
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"13"	"13"	27.06
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"14"	"14"	29.26
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"15"	"15"	32.18
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"16"	"16"	26.10
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"17"	"17"	19.75
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"18"	"18"	22.06
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"19"	"19"	23.38
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"20"	"20"	26.80
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"21"	"21"	28.94
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"22"	"22"	29.91
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"23"	"23"	31.74
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"24"	"24"	33.09
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"25"	"25"	32.26
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"26"	"26"	31.61
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"27"	"27"	31.36
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"28"	"28"	27.94
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"29"	"29"	27.01
	"Florida"	"12"	"1999"	"1999"	"Apr"	"4"	"30"	"30"	21.51
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"1"	"1"	20.86
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"2"	"2"	23.10
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"3"	"3"	26.64
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"4"	"4"	29.09
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"5"	"5"	30.91
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"6"	"6"	31.49
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"7"	"7"	29.68
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"8"	"8"	30.42
